period,partnerDesc,netWgt,primaryValue,数量(万吨),金额(亿美元)
202308,USA,120072920.0,75472532.0,12.007292,0.75472532
202308,Argentina,360780.0,211673.0,0.036078,0.00211673
202309,Brazil,6881450000.0,3915842169.0,688.145,39.15842169
202309,USA,133692460.0,83364573.0,13.369245999999999,0.83364573
202310,Brazil,4814110000.0,2742122513.0,481.411,27.42122513
202310,USA,228254000.0,135571522.0,22.8254,1.35571522
202310,Argentina,1077482.0,667075.0,0.1077482,0.00667075
202311,Brazil,5289240025.0,3015287120.0,528.9240025,30.1528712
202311,USA,2292910000.0,1338317402.0,229.291,13.38317402
202311,Argentina,54214113.0,31545052.0,5.4214113,0.31545052
202312,Brazil,4979410000.0,2855054812.0,497.941,28.55054812
202312,USA,3849030000.0,2221650246.0,384.903,22.21650246
202312,Argentina,389433000.0,220680275.0,38.9433,2.20680275
202401,Brazil,4074670000.0,2326011819.0,407.467,23.26011819
202401,USA,3325980000.0,1914862566.0,332.598,19.14862566
202401,Argentina,159525000.0,89946714.0,15.9525,0.89946714
202402,Brazil,2888840000.0,1615861513.0,288.884,16.15861513
202402,USA,1631120000.0,925367128.0,163.112,9.25367128
202402,Argentina,52967000.0,30924940.0,5.2967,0.3092494
202403,Brazil,3022410000.0,1579720308.0,302.241,15.79720308
202403,USA,2179490000.0,1252172404.0,217.949,12.52172404
202404,Brazil,5914640000.0,2837134234.0,591.464,28.37134234
202404,USA,2445730000.0,1417607760.0,244.573,14.1760776
202405,Brazil,8812100000.0,4180751602.0,881.21,41.80751602
202405,USA,1265580000.0,725067000.0,126.558,7.25067
202406,Brazil,9719540000.0,4620628770.0,971.954,46.2062877
202406,USA,1309230000.0,745058635.0,130.923,7.45058635
202406,Argentina,29.0,1094.0,2.9e-06,1.094e-05
202407,Brazil,9123390000.0,4406930590.0,912.339,44.0693059
202407,USA,475392000.0,271868257.0,47.5392,2.71868257
202407,Argentina,116150000.0,58934960.0,11.615,0.5893496
202408,Brazil,10237900000.0,4974083010.0,1023.79,49.7408301
202408,Argentina,1291110028.0,658688418.0,129.1110028,6.58688418
202408,USA,202383000.0,114696964.0,20.2383,1.14696964
202409,Brazil,8444670005.0,4063525093.0,844.4670005,40.63525093
202409,USA,1711510000.0,971572543.0,171.151,9.71572543
202409,Argentina,612746069.0,309913290.0,61.2746069,3.0991329
202410,Brazil,5533980000.0,2619076760.0,553.398,26.1907676
202410,Argentina,1362890000.0,689190445.0,136.289,6.89190445
202410,USA,541434000.0,274739113.0,54.1434,2.74739113
202411,Brazil,3939880000.0,1865166721.0,393.988,18.65166721
202411,USA,2791270000.0,1443490158.0,279.127,14.43490158
202411,Argentina,242227000.0,119672397.0,24.2227,1.19672397
202412,USA,4255030000.0,1983836802.0,425.503,19.83836802
202412,Brazil,2935360000.0,1366894512.0,293.536,13.66894512
202412,Argentina,264306000.0,125208023.0,26.4306,1.25208023
202501,USA,9130000000.0,4200000000.0,913.0,42.0
202501,Brazil,3590000000.0,1650000000.0,359.0,16.5
202501,Argentina,100000000.0,45000000.0,10.0,4.5
202502,USA,4490000000.0,2050000000.0,449.0,20.5
202502,Brazil,2440000000.0,1110000000.0,244.0,11.1
202503,USA,2440000000.0,1110000000.0,244.0,11.1
202503,Brazil,690000000.0,315000000.0,69.0,3.15
202504,USA,1370000000.0,625000000.0,137.0,6.25
202504,Brazil,4850000000.0,2210000000.0,485.0,22.1
202505,USA,1630000000.0,745000000.0,163.0,7.45
202505,Brazil,12110000000.0,5520000000.0,1211.0,55.2
202506,USA,1580000000.0,720000000.0,158.0,7.2
202506,Brazil,10620000000.0,4840000000.0,1062.0,48.4
202507,USA,420000000.0,192000000.0,42.0,1.92
202507,Brazil,10390000000.0,4740000000.0,1039.0,47.4
202507,Argentina,560000000.0,256000000.0,56.0,2.56
202508,USA,230000000.0,105000000.0,23.0,1.05
202508,Brazil,10490000000.0,4790000000.0,1049.0,47.9
202508,Argentina,1050000000.0,480000000.0,105.0,4.8
202509,USA,0.0,0.0,0.0,0.0
202509,Brazil,10960000000.0,5000000000.0,1096.0,50.0
202509,Argentina,1170000000.0,535000000.0,117.0,5.35
202510,USA,0.0,0.0,0.0,0.0
202510,Brazil,7120000000.0,3250000000.0,712.0,32.5
202510,Argentina,1570000000.0,715000000.0,157.0,7.15

